"Left","Right","C_Left","C_Right","R_Left","R_Right"
-0.86615,-0.141175,-0.640485,0.00525,-0.99725,-0.28411
0.5831,0.74095,0.57885,0.8671,0.4964,0.8442
-0.93795,0.0417,-0.7295,0.0523,-1.0434,0.1325
0.01345,0.01705,-0.1075,0.0841,0.0371,-0.00470000000000001
2.161,1.6645,2.14,1.986,2.272,1.6205
0.2822,-0.552,-0.4853,-1.1255,0.44625,-0.43754
1.2459,0.5867,1.38819,0.5842,1.115,0.77035
-0.50275,0.203,-0.8869,0.18,-0.4804,0.2673
-0.02915,0.31385,0.0427,0.77359,0.2013,0.46205
2.09247,1.4288,2.42485,2.01275,2.09645,1.3682
0.133395,-0.0385,-0.22845,-0.43745,0.504,0.2244
1.3695,0.69175,2.138,1.1259,1.2835,0.8115
0.012,-1.025,-0.012,-0.9375,0.193,-1.279
-2.929,-2.5185,-3.0755,-2.698,-3.2285,-2.577
0.7583,0.094,0.29345,-0.32975,1.163305,0.268
2.416,1.832,2.386,1.7345,2.55,2.033
0.542905,-0.10615,0.49455,0.21575,0.91126,-0.01045
0.8737,0.92325,0.62945,0.7887,0.917,1.30165
-0.21595,-0.42295,-0.3954,-0.4377,-0.08,-0.4657
-0.94905,-0.9723,-0.8052,-1.0209,-0.9502,-0.91285
-0.28785,-0.6847,-0.08055,-0.6499,-0.507565,-0.8057
0.39137,-0.63735,0.46858,-0.7797,0.302045,-0.84655
1.9997,0.25495,1.007,1.0099,2.7404,0.000550000000000009
0.34895,0.5803,0.33105,0.28265,0.2442,0.6746
0.05025,-1.3025,0.152505,-1.28095,0.05915,-1.452
0.7889,0.522955,0.69025,0.366675,0.84065,0.28525
1.3245,1.0281,1.2241,1.17005,1.5225,0.7947
0.4228,1.54715,0.2666,1.5228,0.4441,1.57115
-0.47415,-0.6619,-0.38545,-0.52955,-0.50625,-0.7032
-1.1171,-0.6158,-1.2341,-0.72825,-1.0237,-0.50555
-0.57925,0.24275,-0.1939,0.1195,-0.62565,0.57825
