"Plausibility","Control","Difficulty","ID"
2,3,3,"S 1 "
4,4,4,"S 1 "
4,1,4,"S 1 "
4,3,4,"S 1 "
4,4,4,"S 1 "
4,1,4,"S 1 "
4,2,3,"S 1 "
4,2,4,"S 1 "
3,4,3,"S 1 "
2,1,1,"S 1 "
2,2,2,"S 1 "
4,4,4,"S 1 "
2,1,2,"S 1 "
2,1,1,"S 1 "
4,4,4,"S 1 "
3,1,1,"S 1 "
NA,1,4,"S 1 "
1,2,2,"S 1 "
4,1,4,"S 1 "
2,1,2,"S 1 "
4,3,3,"S 1 "
1,1,1,"S 1 "
4,1,4,"S 1 "
4,3,2,"S 1 "
4,4,4,"S 1 "
4,1,4,"S 1 "
4,2,2,"S 1 "
4,4,4,"S 1 "
4,1,4,"S 1 "
4,3,2,"S 1 "
4,4,4,"S 1 "
4,3,2,"S 1 "
4,4,4,"S 1 "
4,1,4,"S 1 "
4,1,4,"S 1 "
4,4,4,"S 1 "
3,2,1,"S 1 "
4,4,3,"S 1 "
4,2,4,"S 1 "
4,1,4,"S 1 "
4,3,1,"S 1 "
4,4,4,"S 1 "
1,1,4,"S 1 "
3,1,4,"S 1 "
4,1,4,"S 1 "
4,4,4,"S 1 "
4,4,4,"S 1 "
4,4,4,"S 1 "
3,1,2,"S 1 "
3,2,1,"S 1 "
4,1,4,"S 1 "
2,4,3,"S 1 "
3,3,2,"S 1 "
4,1,4,"S 1 "
4,1,4,"S 1 "
1,3,1,"S 1 "
2,2,1,"S 1 "
1,1,2,"S 1 "
4,4,3,"S 1 "
1,1,1,"S 1 "
4,1,3,"S 1 "
1,3,2,"S 1 "
4,4,4,"S 1 "
3,1,3,"S 1 "
1,1,1,"S 2 "
3,3,4,"S 2 "
2,1,3,"S 2 "
3,2,3,"S 2 "
4,4,4,"S 2 "
2,1,3,"S 2 "
3,1,3,"S 2 "
2,1,3,"S 2 "
3,2,2,"S 2 "
4,4,4,"S 2 "
2,2,2,"S 2 "
4,4,4,"S 2 "
2,1,4,"S 2 "
4,3,4,"S 2 "
2,2,3,"S 2 "
2,1,2,"S 2 "
4,4,4,"S 2 "
1,1,1,"S 2 "
1,2,2,"S 2 "
3,4,4,"S 2 "
2,3,4,"S 2 "
1,1,2,"S 2 "
2,3,2,"S 2 "
3,4,4,"S 2 "
3,4,4,"S 2 "
2,3,2,"S 2 "
2,2,2,"S 2 "
4,4,4,"S 2 "
3,4,4,"S 2 "
2,1,2,"S 2 "
3,3,3,"S 2 "
1,4,2,"S 2 "
2,2,3,"S 2 "
2,4,3,"S 2 "
2,4,4,"S 2 "
1,1,2,"S 2 "
3,2,2,"S 2 "
4,4,4,"S 2 "
2,1,2,"S 2 "
2,1,3,"S 2 "
3,4,3,"S 2 "
2,4,4,"S 2 "
1,1,2,"S 2 "
2,1,2,"S 2 "
1,1,2,"S 2 "
3,4,4,"S 2 "
3,4,2,"S 2 "
3,4,2,"S 2 "
2,1,2,"S 2 "
4,4,3,"S 2 "
2,1,2,"S 2 "
4,4,4,"S 2 "
1,1,1,"S 2 "
2,4,3,"S 2 "
4,4,4,"S 2 "
3,1,2,"S 2 "
2,1,1,"S 2 "
2,3,3,"S 2 "
4,4,4,"S 2 "
2,2,2,"S 2 "
2,4,4,"S 2 "
3,4,3,"S 2 "
3,3,1,"S 2 "
1,1,2,"S 2 "
3,2,3,"S 3 "
2,2,2,"S 3 "
2,1,2,"S 3 "
3,3,4,"S 3 "
2,3,3,"S 3 "
1,2,3,"S 3 "
4,3,4,"S 3 "
3,1,2,"S 3 "
3,2,NA,"S 3 "
4,2,3,"S 3 "
2,2,NA,"S 3 "
3,3,4,"S 3 "
2,2,2,"S 3 "
3,3,2,"S 3 "
1,2,1,"S 3 "
4,3,3,"S 3 "
3,4,3,"S 3 "
4,2,4,"S 3 "
1,2,2,"S 3 "
4,3,4,"S 3 "
4,3,4,"S 3 "
4,2,4,"S 3 "
4,3,3,"S 3 "
3,2,4,"S 3 "
2,2,NA,"S 3 "
2,3,1,"S 3 "
3,NA,1,"S 3 "
2,3,2,"S 3 "
3,2,1,"S 3 "
NA,NA,2,"S 3 "
4,3,4,"S 3 "
2,2,NA,"S 3 "
4,3,4,"S 3 "
3,2,3,"S 3 "
4,2,3,"S 3 "
4,2,1,"S 3 "
4,3,4,"S 3 "
2,2,1,"S 3 "
3,3,4,"S 3 "
3,2,3,"S 3 "
3,4,4,"S 3 "
4,2,4,"S 3 "
3,2,2,"S 3 "
4,2,4,"S 3 "
2,3,NA,"S 3 "
3,1,NA,"S 3 "
4,4,3,"S 3 "
4,3,4,"S 3 "
1,2,3,"S 3 "
2,2,3,"S 3 "
3,2,3,"S 3 "
4,3,4,"S 3 "
4,NA,4,"S 3 "
2,3,2,"S 3 "
3,3,3,"S 3 "
3,3,3,"S 3 "
1,2,1,"S 3 "
3,4,NA,"S 3 "
4,2,4,"S 3 "
NA,3,4,"S 3 "
4,2,4,"S 3 "
2,1,1,"S 3 "
4,2,4,"S 3 "
2,3,2,"S 3 "
3,2,3,"S 4 "
3,4,3,"S 4 "
2,2,3,"S 4 "
3,4,4,"S 4 "
2,3,NA,"S 4 "
3,2,4,"S 4 "
2,2,3,"S 4 "
2,2,3,"S 4 "
2,4,1,"S 4 "
4,4,4,"S 4 "
2,2,3,"S 4 "
4,4,3,"S 4 "
3,1,3,"S 4 "
3,3,2,"S 4 "
4,4,4,"S 4 "
4,1,3,"S 4 "
3,3,3,"S 4 "
3,4,2,"S 4 "
2,2,3,"S 4 "
